PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
NC0368147,WOODLAND PARK,Region 4,North Carolina,Community water system,State,Ground water,Active,,41,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,30-NOV-2021,,Open,,SIF,State Public Notification received,,,3,23-DEC-2021
NC0103010,"SPARTA, TOWN OF",Region 4,North Carolina,Community water system,State,Surface water purchased,Active,,"1,900",Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,16-NOV-2021,,Open,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0299424,MITCHELLS CHAPEL UMC,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,65,Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,15-NOV-2021,,Open,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0319420,WHITE OAK RECREATION AREA,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,200,Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,12-OCT-2021,,Open,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0392961,TURNER MEMORIAL BAPTIST CH,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,115,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Returned to Compliance,05-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0416456,T & W OYSTER BAR,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,200,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Returned to Compliance,04-NOV-2021,SOX,State Compliance achieved,,,3,18-NOV-2021
NC0187581,THE BBQ SHACK,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,50,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Returned to Compliance,03-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC1087003,PIZZA BY THE RIVER,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,100,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Returned to Compliance,03-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0428461,WHITES MHP,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,135,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC7071033,IRON CLAD BREWERY,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,200,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0467030,NORTHWEST ONSLOW WATER ASSOC,Region 4,North Carolina,Community water system,State,Ground water,Active,,"2,052",Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC6028007,WHITES`S CONVENIENCE STORE & MOTEL,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,100,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC3017055,DOLLAR GENERAL #22558,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,25,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0157408,THE HOUSE OF HOPE CHURCH OF GOD,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,65,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC7024027,LIVINGSTON CREEK,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,75,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0368470,EMERSON WALDORF SCH-GRADE SCH,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,308,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Returned to Compliance,04-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0428414,DOT-NC STATE SHIPYARD,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,85,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0234167,MCBRIDE`S MHP,Region 4,North Carolina,Community water system,State,Ground water,Active,,190,Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,11-OCT-2021,,Open,,SIF,State Public Notification received,Y,,3,23-DEC-2021
NC0416113,PRUITT HEALTH AT SEA LEVEL,Region 4,North Carolina,Community water system,State,Ground water,Active,,110,Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,10-OCT-2021,,Open,,SIF,State Public Notification received,Y,,3,23-DEC-2021
NC0392824,BLACK HORSE RUN,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,25,Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,04-OCT-2021,,Open,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0111487,MOUNT PISGAH ACADEMY,Region 4,North Carolina,Community water system,State,Ground water,Active,,210,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SFL,State Administrative/Compliance Order without penalty issued,,,3,23-DEC-2021
NC0286175,ORCHARD VIEW PARK,Region 4,North Carolina,Community water system,State,Ground water,Active,,109,Stage 1 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Chlorine,01-OCT-2021,31-DEC-2021,Known,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0286175,ORCHARD VIEW PARK,Region 4,North Carolina,Community water system,State,Ground water,Active,,109,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0201165,CIRCLE K PARK,Region 4,North Carolina,Community water system,State,Ground water,Active,,97,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIF,State Public Notification received,,,3,23-DEC-2021
NC0319128,CEDAR LAKE CONDO,Region 4,North Carolina,Community water system,State,Ground water,Active,,40,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Returned to Compliance,22-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0145420,MOUNTAIN VIEW ASSISTED LIVING,Region 4,North Carolina,Community water system,State,Ground water,Active,,44,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SFL,State Administrative/Compliance Order without penalty issued,,,3,23-DEC-2021
NC0160379,RIVERWALK PLANTATION,Region 4,North Carolina,Community water system,State,Ground water,Active,,89,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0431055,POTTERS HILL WATER ASSOCIATION,Region 4,North Carolina,Community water system,State,Ground water,Active,,79,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0276168,CHILTON`S MHP (TROY),Region 4,North Carolina,Community water system,State,Ground water,Active,,46,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0368147,WOODLAND PARK,Region 4,North Carolina,Community water system,State,Ground water,Active,,41,Stage 1 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Chlorine,01-OCT-2021,31-DEC-2021,Returned to Compliance,01-NOV-2021,SIF,State Public Notification received,Y,,3,23-DEC-2021
NC0498030,"LUCAMA, TOWN OF",Region 4,North Carolina,Community water system,State,Ground water,Active,,881,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0471020,"TOPSAIL BEACH, TOWN OF",Region 4,North Carolina,Community water system,State,Ground water,Active,,"3,198",Stage 2 Disinfectants and Disinfection Byproducts Rule,02,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,01-OCT-2021,31-DEC-2021,Known,,SIF,State Public Notification received,,1,2,23-DEC-2021
NC0467222,RAINTREE/SUMMERSILL ESTATES #2,Region 4,North Carolina,Community water system,State,Ground water purchased,Active,,"1,539",Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0150185,FORT WILDERNESS CAMPGROUND,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,191,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC0144592,JUKEBOX JUNCTION SODA SHOPPE,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,150,Revised Total Coliform Rule,3B,"Monitoring, Additional Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
