PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NC0347102,401 MOBILE HOME PARK,Community water system,Ground water,Hoke,RAEFORD,90,4,57,45
NC0392107,70 EAST MOBILE ACRES,Community water system,Ground water,Wake,GARNER,140,7,26,18
NC0392222,A COUNTRY PLACE,Community water system,Ground water,Wake,WAKE FOREST,91,10,8,17
NC0326776,A1A - ARC OF HOPE MILLS,Community water system,Ground water,Cumberland,HOPE MILLS,28,4,99,30
NC0363020,"ABERDEEN, TOWN OF",Community water system,Ground water,Moore,ABERDEEN,"10,380",46,23,140
NC0234191,ABINGTON S/D,Community water system,Ground water,Forsyth,KERNERSVILLE,"1,506",19,8,57
NC1045041,ACONY BELL COMMUNITY,Community water system,Ground water,Henderson,HENDERSONVILLE,150,7,1,10
NC0392101,ACRES OF SPACE MHP,Community water system,Ground water,Wake,KNIGHTDALE,332,10,128,27
NC0351120,ADAMS MHP,Community water system,Ground water,Johnston,MIDDLESEX,80,6,351,32
NC0446010,"AHOSKIE, TOWN OF",Community water system,Ground water,Hertford,AHOSKIE,"5,479",25,35,70
NC0136102,ALAN ACRES,Community water system,Ground water,Gaston,GASTONIA,366,7,39,28
NC0351194,ALBANY ACRES S/D,Community water system,Ground water,Johnston,CLAYTON,81,4,1,11
NC0184010,"ALBEMARLE, CITY OF",Community water system,Surface water,Stanly,ALBEMARLE,"17,603",7,24,353
NC0102020,ALEXANDER CO WTR DIST,Community water system,Surface water purchased,Alexander,TAYLORSVILLE,"12,458",6,4,155
NC0392102,ALL STAR MHP,Community water system,Ground water,Wake,RALEIGH,530,14,106,26
NC0136103,ALLEN MHP LLC,Community water system,Ground water,Gaston,CHERRYVILLE,64,4,45,30
NC0286144,ALLEN WOODS VILLAGE,Community water system,Ground water,Surry,ELKIN,81,6,56,24
NC0276207,ALLENDALE HEIGHTS,Community water system,Ground water,Randolph,SOPHIA,78,5,20,40
NC0392323,ALTICE ESTATES S/D,Community water system,Ground water,Wake,RALEIGH,330,9,4,18
NC0392236,AMBER ACRES,Community water system,Ground water,Wake,KNIGHTDALE,239,7,38,18
NC0392346,AMBER ACRES NORTH S/D,Community water system,Ground water,Wake,KNIGHTDALE,752,12,47,23
NC4392182,AMBER RIDGE S/D,Community water system,Ground water,Wake,KNIGHTDALE,742,10,43,19
NC0392095,AMHERST S/D,Community water system,Ground water,Wake,FUQUAY-VARINA,325,6,22,20
NC0136339,AMY ACRES S/D,Community water system,Ground water,Gaston,GASTONIA,358,9,111,39
NC0120020,"ANDREWS, TOWN OF",Community water system,Surface water,Cherokee,ANDREWS,"3,274",9,53,137
NC0343015,"ANGIER, TOWN OF",Community water system,Surface water purchased,Harnett,ANGIER,"8,468",5,11,66
NC0304010,ANSON COUNTY WATER SYSTEM,Community water system,Surface water,Anson,LILESVILLE,"13,771",9,127,160
NC0304012,ANSONVILLE WATER SYSTEM,Community water system,Surface water purchased,Anson,ANSONVILLE,"1,262",4,67,57
NC0392045,"APEX, TOWN OF",Community water system,Surface water purchased,Wake,APEX,"70,272",9,29,49
NC0195101,APPALACHIAN STATE UNIV WTP,Community water system,Surface water,Watauga,BOONE,"11,150",10,58,92
NC0234179,APPLEGATE WATER SYSTEM,Community water system,Ground water,Forsyth,KERNERSVILLE,429,13,107,44
NC0368108,ARBOR HILL MHP,Community water system,Ground water,Orange,DURHAM,85,4,165,31
NC3041039,ARBOR RUN/CHARLES PLACE S/D,Community water system,Ground water,Guilford,OAK RIDGE,584,11,2,26
NC0276030,"ARCHDALE, CITY OF",Community water system,Surface water purchased,Randolph,ARCHDALE,"12,700",7,34,54
NC0136252,ARCHDALE/TRYON MHP,Community water system,Ground water,Gaston,CHERRYVILLE,74,6,59,47
NC4092184,ARLINGTON S/D,Community water system,Ground water,Wake,RALEIGH,46,4,1,1
NC3041054,ARMFIELD S/D PHASE IA,Community water system,Ground water,Guilford,SUMMERFIELD,132,6,1,24
NC3041055,ARMFIELD S/D PHASE IB,Community water system,Ground water,Guilford,SUMMERFIELD,86,7,0,19
NC0392374,ARROW SPRINGS,Community water system,Ground water,Wake,RALEIGH,53,4,3,17
NC3041103,ASHCROFT PARK,Community water system,Ground water,Guilford,GREENSBORO,175,6,9,8
NC3076008,ASHEBORO COUNTRY CLUB ESTATES,Community water system,Ground water,Randolph,ASHEBORO,26,4,400,11
NC0276010,"ASHEBORO, CITY OF",Community water system,Surface water,Randolph,ASHEBORO,"25,852",15,3,90
NC0136104,ASHEBROOK PARK,Community water system,Ground water,Gaston,GASTONIA,231,8,13,29
NC4092081,ASHEBROOK S/D,Community water system,Ground water,Wake,,53,4,0,9
NC0276101,ASHEBROOK WOODS,Community water system,Surface water purchased,Randolph,ARCHDALE,96,7,21,33
NC0111010,ASHEVILLE CITY OF,Community water system,Surface water,Buncombe,ASHEVILLE,"156,720",13,7,326
NC0392341,ASHLEY HILLS NORTH S/D,Community water system,Ground water,Wake,KNIGHTDALE,602,10,50,22
NC0392318,ASHLEY HILLS S/D,Community water system,Ground water,Wake,KNIGHTDALE,453,15,44,21
NC0149191,ASHLEY WOODS S/D,Community water system,Ground water,Iredell,MOORESVILLE,97,4,1,23
NC0416035,"ATLANTIC BEACH, TOWN OF",Community water system,Ground water,Carteret,ATLANTIC BEACH,"6,380",13,11,101
NC0416160,ATLANTIC MHP,Community water system,Ground water,Carteret,NEWPORT,113,6,28,34
NC0416166,ATLANTIC MHP II,Community water system,Ground water,Carteret,NEWPORT,106,7,23,41
NC0416192,ATLANTIC VILLAGE MHP,Community water system,Ground water,Carteret,NEWPORT,175,6,18,41
NC0392344,AUBURN ESTATES,Community water system,Ground water,Wake,RALEIGH,25,4,44,17
NC4392159,AUBURN HILLS S/D,Community water system,Ground water,Wake,KNIGHTDALE,94,4,26,12
NC0408015,"AULANDER, TOWN OF",Community water system,Ground water,Bertie,AULANDER,"1,438",7,10,50
NC0319431,AULDERN ACADEMY,Community water system,Ground water,Chatham,SILER CITY,75,4,27,21
NC0407020,AURORA WATER SYSTEM,Community water system,Ground water,Beaufort,AURORA,502,7,48,91
NC0382045,"AUTRYVILLE, TOWN OF",Community water system,Ground water purchased,Sampson,AUTRYVILLE,472,5,5,45
NC0136294,AUTUMN ACRES S/D,Community water system,Ground water,Gaston,GASTONIA,84,8,9,32
NC0241103,AUTUMN FOREST MHP,Community water system,Ground water,Guilford,BROWN SUMMIT,597,15,67,57
NC3041109,AUTUMN RIDGE S/D,Community water system,Ground water,Guilford,OAK RIDGE,36,4,1,10
NC0111134,AVALON ACRES MHP,Community water system,Ground water,Buncombe,FAIRVIEW,65,5,293,54
NC4092165,AVALYN S/D,Community water system,Ground water,Wake,WAKE FOREST,25,4,2,1
NC4092107,AVOCET S/D,Community water system,Ground water,Wake,HOLLY SPRINGS,566,20,2,25
NC0474025,AYDEN TOWN OF,Community water system,Surface water purchased,Pitt,AYDEN,"6,366",12,6,89
NC0136286,AZALEA HILLS MHP,Community water system,Ground water,Gaston,GASTONIA,80,4,35,44
NC6027009,BACKWOODS-SADDLEBROOK COMM WS,Community water system,Ground water,Currituck,MOYOCK,122,7,7,13
NC0362120,BADIN SHORES RESORT,Community water system,Surface water purchased,Montgomery,NEW LONDON,"2,743",2,48,39
NC0160203,BAHIA BAY S/D,Community water system,Ground water,Mecklenburg,CORNELIUS,350,10,17,36
NC4035019,BAILEY FARMS SUBDIVISION,Community water system,Ground water,Franklin,LOUISBURG,64,4,1,4
NC0286134,BAILEY MHP  NO 1,Community water system,Ground water,Surry,PILOT MOUNTAIN,94,4,19,31
NC0464035,"BAILEY, TOWN OF",Community water system,Ground water,Nash,BAILEY,569,9,126,39
NC4092160,BAILEY`S AT GLENMOOR S/D,Community water system,Ground water,Wake,RALEIGH,41,4,0,4
NC4392192,BAILEY`S LANDING S/D,Community water system,Ground water,Wake,RALEIGH,114,8,0,14
NC0161015,"BAKERSVILLE, TOWN OF",Community water system,Ground water,Mitchell,BAKERSVILLE,725,13,126,90
NC3041034,BALLARD FARMS S/D,Community water system,Ground water,Guilford,OAK RIDGE,125,4,2,13
NC0416101,BALLOU MHP,Community water system,Ground water,Carteret,MOREHEAD CITY,95,4,45,34
NC0150102,BALLOUGH HILLS,Community water system,Ground water,Jackson,BALSAM,132,6,34,23
NC0106015,"BANNER ELK, TOWN OF",Community water system,Ground water,Avery,BANNER ELK,"1,407",13,59,96
